0040BF11	BTC      DX, 0x4                                          EAX=000000F8 ECX=77AE3804 EDX=0000FF00 EBX=0040C71D ESP=0018FE24 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000293
0040BF16	PUSH     ESP                                              EAX=000000F8 ECX=77AE3804 EDX=0000FF10 EBX=0040C71D ESP=0018FE24 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000292
0040BF17	MOVZX    DX, AL                                           EAX=000000F8 ECX=77AE3804 EDX=0000FF10 EBX=0040C71D ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000292
0040BF1B	ROR      AL, 0x7                                          EAX=000000F8 ECX=77AE3804 EDX=000000F8 EBX=0040C71D ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000292
0040BF1E	ROL      DH, 0x3                                          EAX=000000F1 ECX=77AE3804 EDX=000000F8 EBX=0040C71D ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000293
0040BF21	SUB      AL, 0x30                                         EAX=000000F1 ECX=77AE3804 EDX=000000F8 EBX=0040C71D ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000292
0040BF23	SHR      DX, 0x9                                          EAX=000000C1 ECX=77AE3804 EDX=000000F8 EBX=0040C71D ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000282
0040BF27	XOR      AL, 0xce                                         EAX=000000C1 ECX=77AE3804 EDX=00000000 EBX=0040C71D ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000246
0040BF29	ADC      DL, 0xdb                                         EAX=0000000F ECX=77AE3804 EDX=00000000 EBX=0040C71D ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000206
0040BF2C	BT       EBX, EDI                                         EAX=0000000F ECX=77AE3804 EDX=000000DB EBX=0040C71D ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000286
0040BF2F	SETL     DH                                               EAX=0000000F ECX=77AE3804 EDX=000000DB EBX=0040C71D ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000287
