SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000004 ECX=00000001 EDX=00000001 EBX=0CB8CBC7 ESP=003CFBDC EBP=003CFCC4 ESI=01222C8A EDI=003CFBDC EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003CFC2C ECX=00000001 EDX=00000001 EBX=0CB8CBC7 ESP=003CFBDC EBP=003CFCC4 ESI=01222C8A EDI=003CFBDC EFLAG=00000212
SeqID:00000005 0117C2E4->0117B81B                                                  EAX=000000B4 ECX=00000001 EDX=0117C2E4 EBX=0CB8CB13 ESP=003CFBDC EBP=003CFCC4 ESI=01222C8B EDI=003CFBDC EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000034 ECX=00000001 EDX=0021E368 EBX=0CB8CBDF ESP=003CFBDC EBP=003CFCC0 ESI=01222C8C EDI=003CFBDC EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003CFC2C ECX=00000001 EDX=0021E368 EBX=0CB8CBDF ESP=003CFBDC EBP=003CFCC0 ESI=01222C8C EDI=003CFBDC EFLAG=00000212
SeqID:00000005 0117C2E4->0117B81B                                                  EAX=000000B4 ECX=00000001 EDX=0117C2E4 EBX=0CB8CB2B ESP=003CFBDC EBP=003CFCC0 ESI=01222C8D EDI=003CFBDC EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000024 ECX=00000001 EDX=760041B5 EBX=0CB8CB07 ESP=003CFBDC EBP=003CFCBC ESI=01222C8E EDI=003CFBDC EFLAG=00000212
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003CFC2C ECX=00000001 EDX=760041B5 EBX=0CB8CB07 ESP=003CFBDC EBP=003CFCBC ESI=01222C8E EDI=003CFBDC EFLAG=00000206
SeqID:00000006 0117AF16->0117CAB1                                                  EAX=0000004A ECX=00000001 EDX=0117AF16 EBX=0CB8CBBD ESP=003CFBDC EBP=003CFCBC ESI=01222C8F EDI=003CFBDC EFLAG=00000202
SeqID:00000004 0117B820->0117B1F5                                                  EAX=2A478783 ECX=00000001 EDX=0117AF16 EBX=E271443A ESP=003CFBDC EBP=003CFCB8 ESI=01222C93 EDI=003CFBDC EFLAG=00000206
