SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000001 EDX=0009E208 EBX=0CB8CBDF ESP=001EF704 EBP=001EF7E8 ESI=013E2C8C EDI=001EF704 EFLAG=00000202
SeqID:00000005 0133C2E4->0133B81B                                                  EAX=000000B4 ECX=00000001 EDX=0133C2E4 EBX=0CB8CB2B ESP=001EF704 EBP=001EF7E8 ESI=013E2C8D EDI=001EF704 EFLAG=00000206
SeqID:00000004 0133B820->0133B1F5                                                  EAX=00000024 ECX=00000001 EDX=76D341B5 EBX=0CB8CB07 ESP=001EF704 EBP=001EF7E4 ESI=013E2C8E EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000001 EDX=76D341B5 EBX=0CB8CB07 ESP=001EF704 EBP=001EF7E4 ESI=013E2C8E EDI=001EF704 EFLAG=00000206
SeqID:00000006 0133AF16->0133CAB1                                                  EAX=0000004A ECX=00000001 EDX=0133AF16 EBX=0CB8CBBD ESP=001EF704 EBP=001EF7E4 ESI=013E2C8F EDI=001EF704 EFLAG=00000202
SeqID:00000004 0133B820->0133B1F5                                                  EAX=2A478783 ECX=00000001 EDX=0133AF16 EBX=E271443A ESP=001EF704 EBP=001EF7E0 ESI=013E2C93 EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000001 EDX=0133AF16 EBX=E271443A ESP=001EF704 EBP=001EF7E0 ESI=013E2C93 EDI=001EF704 EFLAG=00000212
SeqID:00000006 0133AF16->0133CAB1                                                  EAX=000000C2 ECX=00000001 EDX=0133AF16 EBX=E2714478 ESP=001EF704 EBP=001EF7E0 ESI=013E2C94 EDI=001EF704 EFLAG=00000202
SeqID:00000004 0133B820->0133B1F5                                                  EAX=8BE42F3F ECX=00000001 EDX=0133AF16 EBX=568D1539 ESP=001EF704 EBP=001EF7DC ESI=013E2C98 EDI=001EF704 EFLAG=00000212
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000001 EDX=0133AF16 EBX=568D1539 ESP=001EF704 EBP=001EF7DC ESI=013E2C98 EDI=001EF704 EFLAG=00000206
SeqID:00000006 0133AF16->0133CAB1                                                  EAX=0000004A ECX=00000001 EDX=0133AF16 EBX=568D15EF ESP=001EF704 EBP=001EF7DC ESI=013E2C99 EDI=001EF704 EFLAG=00000202
SeqID:00000004 0133B820->0133B1F5                                                  EAX=7462A02C ECX=00000001 EDX=0133AF16 EBX=E22A75C3 ESP=001EF704 EBP=001EF7D8 ESI=013E2C9D EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000001 EDX=0133AF16 EBX=E22A75C3 ESP=001EF704 EBP=001EF7D8 ESI=013E2C9D EDI=001EF704 EFLAG=00000206
SeqID:00000007 0133ADCC->0133C3BD                                                  EAX=00000037 ECX=00000001 EDX=0133ADCC EBX=E22A758C ESP=001EF704 EBP=001EF7D8 ESI=013E2C9E EDI=001EF704 EFLAG=00000206
