SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=0022DC48 EBX=0CB8CBDF ESP=003DF90C EBP=003DF9F0 ESI=01222C8C EDI=003DF90C EFLAG=00000212
SeqID:00000005 0117C2E4->0117B81B                                                  EAX=000000B4 ECX=00000001 EDX=0117C2E4 EBX=0CB8CB2B ESP=003DF90C EBP=003DF9F0 ESI=01222C8D EDI=003DF90C EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000024 ECX=00000001 EDX=760041B5 EBX=0CB8CB07 ESP=003DF90C EBP=003DF9EC ESI=01222C8E EDI=003DF90C EFLAG=00000212
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=760041B5 EBX=0CB8CB07 ESP=003DF90C EBP=003DF9EC ESI=01222C8E EDI=003DF90C EFLAG=00000206
SeqID:00000006 0117AF16->0117CAB1                                                  EAX=0000004A ECX=00000001 EDX=0117AF16 EBX=0CB8CBBD ESP=003DF90C EBP=003DF9EC ESI=01222C8F EDI=003DF90C EFLAG=00000202
SeqID:00000004 0117B820->0117B1F5                                                  EAX=2A478783 ECX=00000001 EDX=0117AF16 EBX=E271443A ESP=003DF90C EBP=003DF9E8 ESI=01222C93 EDI=003DF90C EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=0117AF16 EBX=E271443A ESP=003DF90C EBP=003DF9E8 ESI=01222C93 EDI=003DF90C EFLAG=00000212
SeqID:00000006 0117AF16->0117CAB1                                                  EAX=000000C2 ECX=00000001 EDX=0117AF16 EBX=E2714478 ESP=003DF90C EBP=003DF9E8 ESI=01222C94 EDI=003DF90C EFLAG=00000202
SeqID:00000004 0117B820->0117B1F5                                                  EAX=8BE42F3F ECX=00000001 EDX=0117AF16 EBX=568D1539 ESP=003DF90C EBP=003DF9E4 ESI=01222C98 EDI=003DF90C EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=0117AF16 EBX=568D1539 ESP=003DF90C EBP=003DF9E4 ESI=01222C98 EDI=003DF90C EFLAG=00000216
SeqID:00000006 0117AF16->0117CAB1                                                  EAX=0000004A ECX=00000001 EDX=0117AF16 EBX=568D15EF ESP=003DF90C EBP=003DF9E4 ESI=01222C99 EDI=003DF90C EFLAG=00000202
SeqID:00000004 0117B820->0117B1F5                                                  EAX=7462A02C ECX=00000001 EDX=0117AF16 EBX=E22A75C3 ESP=003DF90C EBP=003DF9E0 ESI=01222C9D EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=0117AF16 EBX=E22A75C3 ESP=003DF90C EBP=003DF9E0 ESI=01222C9D EDI=003DF90C EFLAG=00000216
SeqID:00000007 0117ADCC->0117C3BD                                                  EAX=00000037 ECX=00000001 EDX=0117ADCC EBX=E22A758C ESP=003DF90C EBP=003DF9E0 ESI=01222C9E EDI=003DF90C EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=003DF9E0 ECX=00000001 EDX=0117ADCC EBX=E22A758C ESP=003DF90C EBP=003DF9DC ESI=01222C9E EDI=003DF90C EFLAG=00000212
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=0117ADCC EBX=E22A758C ESP=003DF90C EBP=003DF9DC ESI=01222C9E EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DA02C ECX=00000001 EDX=0117B2E0 EBX=E22A75AC ESP=003DF90C EBP=003DF9DE ESI=01222C9F EDI=003DF90C EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000000 ECX=00000001 EDX=0117CA74 EBX=E22A75C2 ESP=003DF90C EBP=003DF9DC ESI=01222CA1 EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=0117CA74 EBX=E22A75C2 ESP=003DF90C EBP=003DF9DC ESI=01222CA1 EDI=003DF90C EFLAG=00000202
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000000 ECX=00000001 EDX=0117BFB0 EBX=E22A7581 ESP=003DF90C EBP=003DF9DA ESI=01222CA2 EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=0117BFB0 EBX=E22A7581 ESP=003DF90C EBP=003DF9DA ESI=01222CA2 EDI=003DF90C EFLAG=00000216
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000028 ECX=00000001 EDX=00000202 EBX=E22A75A3 ESP=003DF90C EBP=003DF9DE ESI=01222CA4 EDI=003DF90C EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=0000001C ECX=00000001 EDX=0117A02C EBX=E22A7567 ESP=003DF90C EBP=003DF9E0 ESI=01222CA6 EDI=003DF90C EFLAG=00000212
SeqID:00000003 0117AFB0->0117C9D8                                                  EAX=00000018 ECX=00000001 EDX=0117AFB0 EBX=E22A754F ESP=003DF90C EBP=003DF9E0 ESI=01222CA7 EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=7462A02C ECX=00000001 EDX=0117AFB0 EBX=E22A754F ESP=003DF90C EBP=003DF9E0 ESI=01222CA7 EDI=003DF90C EFLAG=00000213
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000010 ECX=00000001 EDX=00000213 EBX=E22A75E4 ESP=003DF90C EBP=003DF9E4 ESI=01222CA9 EDI=003DF90C EFLAG=00000206
SeqID:00000005 0117C2E4->0117B81B                                                  EAX=000000B4 ECX=00000001 EDX=0117C2E4 EBX=E22A7530 ESP=003DF90C EBP=003DF9E4 ESI=01222CAA EDI=003DF90C EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=0000003C ECX=00000001 EDX=00D70000 EBX=E22A75F4 ESP=003DF90C EBP=003DF9E0 ESI=01222CAB EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=00D70000 EBX=E22A75F4 ESP=003DF90C EBP=003DF9E0 ESI=01222CAB EDI=003DF90C EFLAG=00000216
SeqID:00000003 0117AFB0->0117C9D8                                                  EAX=00000018 ECX=00000001 EDX=0117AFB0 EBX=E22A75DC ESP=003DF90C EBP=003DF9E0 ESI=01222CAC EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00D70000 ECX=00000001 EDX=0117AFB0 EBX=E22A75DC ESP=003DF90C EBP=003DF9E0 ESI=01222CAC EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000008 ECX=00000001 EDX=00000202 EBX=E22A757F ESP=003DF90C EBP=003DF9E4 ESI=01222CAE EDI=003DF90C EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=CB3900D9 ECX=00000001 EDX=0117AF00 EBX=E22A7536 ESP=003DF90C EBP=003DF9E4 ESI=01222CAF EDI=003DF90C EFLAG=00000206
SeqID:00000003 0117AFB0->0117C9D8                                                  EAX=00000018 ECX=00000001 EDX=0117AFB0 EBX=E22A751E ESP=003DF90C EBP=003DF9E4 ESI=01222CB0 EDI=003DF90C EFLAG=00000202
SeqID:00000008 0117D095->0117CC39                                                  EAX=CB3900D9 ECX=00000001 EDX=0117AFB0 EBX=E22A751E ESP=003DF90C EBP=003DF9E4 ESI=01222CB0 EDI=003DF90C EFLAG=00000286
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=CB3900D9 ECX=00000001 EDX=0117AFB0 EBX=E22A751E ESP=003DF90C EBP=003DF9E4 ESI=01222CB0 EDI=003DF90C EFLAG=00000286
SeqID:00000007 0117ADCC->0117C3BD                                                  EAX=000000FB ECX=00000001 EDX=0117ADCC EBX=E22A7523 ESP=003DF90C EBP=003DF9E4 ESI=01222CB1 EDI=003DF90C EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=003DF9E4 ECX=00000001 EDX=0117ADCC EBX=E22A7523 ESP=003DF90C EBP=003DF9E0 ESI=01222CB1 EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000001 EDX=0117ADCC EBX=E22A7523 ESP=003DF90C EBP=003DF9E0 ESI=01222CB1 EDI=003DF90C EFLAG=00000216
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000286 ECX=00000001 EDX=0117CF85 EBX=E22A7515 ESP=003DF90C EBP=003DF9E0 ESI=01222CB2 EDI=003DF90C EFLAG=00000202
