SeqID:00000032 00A085D5->009FFBC3                                                  EAX=00A00138 ECX=FF5FFF03 EDX=00000044 EBX=00A00149 ESP=0040FC3C EBP=00A000C5 ESI=00A085D5 EDI=80000000 EFLAG=00000212
SeqID:00000032 00A085D5->009FFBC3                                                  EAX=00A00138 ECX=FF5FFF03 EDX=00000044 EBX=00A00149 ESP=0040FC38 EBP=00A000C5 ESI=00A085D5 EDI=80000000 EFLAG=00000206
SeqID:00000032 00A085D5->009FFBC3                                                  EAX=00A00138 ECX=FF5FFF03 EDX=00000044 EBX=00A00149 ESP=0040FC34 EBP=00A000C5 ESI=00A085D5 EDI=80000000 EFLAG=00000212
SeqID:00000032 00A085D5->009FFBC3                                                  EAX=00A00138 ECX=FF5FFF03 EDX=00000044 EBX=00A00149 ESP=0040FC30 EBP=00A000C5 ESI=00A085D5 EDI=80000000 EFLAG=00000216
SeqID:00000032 00A085D5->009FFBC3                                                  EAX=00A00138 ECX=FF5FFF03 EDX=00000044 EBX=00A00149 ESP=0040FC2C EBP=00A000C5 ESI=00A085D5 EDI=80000000 EFLAG=00000206
SeqID:00000032 00A085D5->009FFBC3                                                  EAX=00A00138 ECX=FF5FFE03 EDX=00000044 EBX=00A00149 ESP=0040FC28 EBP=00A000C5 ESI=00A085D5 EDI=80000000 EFLAG=00000216
SeqID:00000007 00A02352->009FFBE1                                                  EAX=00A00138 ECX=FF5FFF03 EDX=00000004 EBX=00A00149 ESP=0040FC24 EBP=00A000C5 ESI=00A02352 EDI=80000000 EFLAG=00000206
SeqID:00000006 00A022B0->009FFBBD                                                  EAX=00A3E1B9 ECX=00840000 EDX=00A3E1A1 EBX=00000018 ESP=0040FC30 EBP=00A000C5 ESI=7630FD1E EDI=00000000 EFLAG=00000212
SeqID:00000001 00A002E3->009FFBF4                                                  EAX=00AFC86A ECX=00000004 EDX=00A000C9 EBX=00A00149 ESP=0040FC30 EBP=00A000C5 ESI=00A00138 EDI=00A002E3 EFLAG=00000206
SeqID:00000032 00A085D5->009FFBC3                                                  EAX=00A3E221 ECX=00000080 EDX=00A000C9 EBX=00A00149 ESP=0040FC30 EBP=00A000C5 ESI=00A000C9 EDI=00A085D5 EFLAG=00000212
SeqID:00000032 00A085D5->009FFBC3                                                  EAX=00A00138 ECX=00A0016C EDX=00000084 EBX=00A00149 ESP=0040FC34 EBP=00A000C5 ESI=00A085D5 EDI=80000000 EFLAG=00000202
