012B5428	DEC      ECX                                              EAX=00000031 ECX=002CFC77 EDX=00000039 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC70 EDI=00000000 EFLAG=00000206
012B5429	MOV      [ESI], AL                                        EAX=00000031 ECX=002CFC76 EDX=00000039 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC70 EDI=00000000 EFLAG=00000202
012B542B	INC      ESI                                              EAX=00000031 ECX=002CFC76 EDX=00000039 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC70 EDI=00000000 EFLAG=00000202
012B542C	CMP      ESI, ECX                                         EAX=00000031 ECX=002CFC76 EDX=00000039 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC71 EDI=00000000 EFLAG=00000206
012B542E	JB       0x12b5422                                        EAX=00000031 ECX=002CFC76 EDX=00000039 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC71 EDI=00000000 EFLAG=00000293
012B5422	MOV      DL, [ESI]                                        EAX=00000031 ECX=002CFC76 EDX=00000039 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC71 EDI=00000000 EFLAG=00000293
012B5424	MOV      AL, [ECX]                                        EAX=00000031 ECX=002CFC76 EDX=00000037 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC71 EDI=00000000 EFLAG=00000293
012B5426	MOV      [ECX], DL                                        EAX=00000032 ECX=002CFC76 EDX=00000037 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC71 EDI=00000000 EFLAG=00000293
012B5428	DEC      ECX                                              EAX=00000032 ECX=002CFC76 EDX=00000037 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC71 EDI=00000000 EFLAG=00000293
012B5429	MOV      [ESI], AL                                        EAX=00000032 ECX=002CFC75 EDX=00000037 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC71 EDI=00000000 EFLAG=00000203
012B542B	INC      ESI                                              EAX=00000032 ECX=002CFC75 EDX=00000037 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC71 EDI=00000000 EFLAG=00000203
012B542C	CMP      ESI, ECX                                         EAX=00000032 ECX=002CFC75 EDX=00000037 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC72 EDI=00000000 EFLAG=00000207
012B542E	JB       0x12b5422                                        EAX=00000032 ECX=002CFC75 EDX=00000037 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC72 EDI=00000000 EFLAG=00000293
012B5422	MOV      DL, [ESI]                                        EAX=00000032 ECX=002CFC75 EDX=00000037 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC72 EDI=00000000 EFLAG=00000293
012B5424	MOV      AL, [ECX]                                        EAX=00000032 ECX=002CFC75 EDX=00000036 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC72 EDI=00000000 EFLAG=00000293
012B5426	MOV      [ECX], DL                                        EAX=00000033 ECX=002CFC75 EDX=00000036 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC72 EDI=00000000 EFLAG=00000293
012B5428	DEC      ECX                                              EAX=00000033 ECX=002CFC75 EDX=00000036 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC72 EDI=00000000 EFLAG=00000293
012B5429	MOV      [ESI], AL                                        EAX=00000033 ECX=002CFC74 EDX=00000036 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC72 EDI=00000000 EFLAG=00000207
012B542B	INC      ESI                                              EAX=00000033 ECX=002CFC74 EDX=00000036 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC72 EDI=00000000 EFLAG=00000207
012B542C	CMP      ESI, ECX                                         EAX=00000033 ECX=002CFC74 EDX=00000036 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC73 EDI=00000000 EFLAG=00000203
012B542E	JB       0x12b5422                                        EAX=00000033 ECX=002CFC74 EDX=00000036 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC73 EDI=00000000 EFLAG=00000297
012B5422	MOV      DL, [ESI]                                        EAX=00000033 ECX=002CFC74 EDX=00000036 EBX=760041B5 ESP=002CFC3C EBP=002CFC40 ESI=002CFC73 EDI=00000000 EFLAG=00000297
