000A53FB	JZ       0xa5403                                          EAX=12345677 ECX=0026FC28 EDX=00DE96E4 EBX=760041B5 ESP=0026FBF8 EBP=0026FBF8 ESI=7630FD1E EDI=00000000 EFLAG=00000246
000A5403	PUSH     ESI                                              EAX=12345677 ECX=0026FC28 EDX=00DE96E4 EBX=760041B5 ESP=0026FBF8 EBP=0026FBF8 ESI=7630FD1E EDI=00000000 EFLAG=00000246
000A5404	MOV      ESI, ECX                                         EAX=12345677 ECX=0026FC28 EDX=00DE96E4 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=7630FD1E EDI=00000000 EFLAG=00000246
000A5406	XOR      EDX, EDX                                         EAX=12345677 ECX=0026FC28 EDX=00DE96E4 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A5408	DIV      DWORD [EBP+0x8]                                  EAX=12345677 ECX=0026FC28 EDX=00000000 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A540B	CMP      EDX, 0x9                                         EAX=01234567 ECX=0026FC28 EDX=00000007 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A540E	JBE      0xa5415                                          EAX=01234567 ECX=0026FC28 EDX=00000007 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000293
000A5415	ADD      DL, 0x30                                         EAX=01234567 ECX=0026FC28 EDX=00000007 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000293
000A5418	MOV      [ECX], DL                                        EAX=01234567 ECX=0026FC28 EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A541A	INC      ECX                                              EAX=01234567 ECX=0026FC28 EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A541B	TEST     EAX, EAX                                         EAX=01234567 ECX=0026FC29 EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A541D	JNZ      0xa5406                                          EAX=01234567 ECX=0026FC29 EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A5406	XOR      EDX, EDX                                         EAX=01234567 ECX=0026FC29 EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A5408	DIV      DWORD [EBP+0x8]                                  EAX=01234567 ECX=0026FC29 EDX=00000000 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A540B	CMP      EDX, 0x9                                         EAX=00123456 ECX=0026FC29 EDX=00000007 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A540E	JBE      0xa5415                                          EAX=00123456 ECX=0026FC29 EDX=00000007 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000293
000A5415	ADD      DL, 0x30                                         EAX=00123456 ECX=0026FC29 EDX=00000007 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000293
000A5418	MOV      [ECX], DL                                        EAX=00123456 ECX=0026FC29 EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A541A	INC      ECX                                              EAX=00123456 ECX=0026FC29 EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A541B	TEST     EAX, EAX                                         EAX=00123456 ECX=0026FC2A EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A541D	JNZ      0xa5406                                          EAX=00123456 ECX=0026FC2A EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000206
000A5406	XOR      EDX, EDX                                         EAX=00123456 ECX=0026FC2A EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000206
000A5408	DIV      DWORD [EBP+0x8]                                  EAX=00123456 ECX=0026FC2A EDX=00000000 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A540B	CMP      EDX, 0x9                                         EAX=00012345 ECX=0026FC2A EDX=00000006 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A540E	JBE      0xa5415                                          EAX=00012345 ECX=0026FC2A EDX=00000006 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000293
000A5415	ADD      DL, 0x30                                         EAX=00012345 ECX=0026FC2A EDX=00000006 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000293
000A5418	MOV      [ECX], DL                                        EAX=00012345 ECX=0026FC2A EDX=00000036 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000206
000A541A	INC      ECX                                              EAX=00012345 ECX=0026FC2A EDX=00000036 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000206
000A541B	TEST     EAX, EAX                                         EAX=00012345 ECX=0026FC2B EDX=00000036 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000206
000A541D	JNZ      0xa5406                                          EAX=00012345 ECX=0026FC2B EDX=00000036 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A5406	XOR      EDX, EDX                                         EAX=00012345 ECX=0026FC2B EDX=00000036 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A5408	DIV      DWORD [EBP+0x8]                                  EAX=00012345 ECX=0026FC2B EDX=00000000 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A540B	CMP      EDX, 0x9                                         EAX=00001234 ECX=0026FC2B EDX=00000005 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A540E	JBE      0xa5415                                          EAX=00001234 ECX=0026FC2B EDX=00000005 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000297
000A5415	ADD      DL, 0x30                                         EAX=00001234 ECX=0026FC2B EDX=00000005 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000297
000A5418	MOV      [ECX], DL                                        EAX=00001234 ECX=0026FC2B EDX=00000035 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000206
000A541A	INC      ECX                                              EAX=00001234 ECX=0026FC2B EDX=00000035 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000206
000A541B	TEST     EAX, EAX                                         EAX=00001234 ECX=0026FC2C EDX=00000035 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A541D	JNZ      0xa5406                                          EAX=00001234 ECX=0026FC2C EDX=00000035 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A5406	XOR      EDX, EDX                                         EAX=00001234 ECX=0026FC2C EDX=00000035 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A5408	DIV      DWORD [EBP+0x8]                                  EAX=00001234 ECX=0026FC2C EDX=00000000 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A540B	CMP      EDX, 0x9                                         EAX=00000123 ECX=0026FC2C EDX=00000004 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A540E	JBE      0xa5415                                          EAX=00000123 ECX=0026FC2C EDX=00000004 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000293
000A5415	ADD      DL, 0x30                                         EAX=00000123 ECX=0026FC2C EDX=00000004 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000293
000A5418	MOV      [ECX], DL                                        EAX=00000123 ECX=0026FC2C EDX=00000034 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A541A	INC      ECX                                              EAX=00000123 ECX=0026FC2C EDX=00000034 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A541B	TEST     EAX, EAX                                         EAX=00000123 ECX=0026FC2D EDX=00000034 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000206
000A541D	JNZ      0xa5406                                          EAX=00000123 ECX=0026FC2D EDX=00000034 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A5406	XOR      EDX, EDX                                         EAX=00000123 ECX=0026FC2D EDX=00000034 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A5408	DIV      DWORD [EBP+0x8]                                  EAX=00000123 ECX=0026FC2D EDX=00000000 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A540B	CMP      EDX, 0x9                                         EAX=00000012 ECX=0026FC2D EDX=00000003 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A540E	JBE      0xa5415                                          EAX=00000012 ECX=0026FC2D EDX=00000003 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000297
000A5415	ADD      DL, 0x30                                         EAX=00000012 ECX=0026FC2D EDX=00000003 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000297
000A5418	MOV      [ECX], DL                                        EAX=00000012 ECX=0026FC2D EDX=00000033 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000206
000A541A	INC      ECX                                              EAX=00000012 ECX=0026FC2D EDX=00000033 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000206
000A541B	TEST     EAX, EAX                                         EAX=00000012 ECX=0026FC2E EDX=00000033 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000206
000A541D	JNZ      0xa5406                                          EAX=00000012 ECX=0026FC2E EDX=00000033 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000206
000A5406	XOR      EDX, EDX                                         EAX=00000012 ECX=0026FC2E EDX=00000033 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000206
000A5408	DIV      DWORD [EBP+0x8]                                  EAX=00000012 ECX=0026FC2E EDX=00000000 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A540B	CMP      EDX, 0x9                                         EAX=00000001 ECX=0026FC2E EDX=00000002 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A540E	JBE      0xa5415                                          EAX=00000001 ECX=0026FC2E EDX=00000002 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000297
000A5415	ADD      DL, 0x30                                         EAX=00000001 ECX=0026FC2E EDX=00000002 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000297
000A5418	MOV      [ECX], DL                                        EAX=00000001 ECX=0026FC2E EDX=00000032 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A541A	INC      ECX                                              EAX=00000001 ECX=0026FC2E EDX=00000032 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A541B	TEST     EAX, EAX                                         EAX=00000001 ECX=0026FC2F EDX=00000032 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A541D	JNZ      0xa5406                                          EAX=00000001 ECX=0026FC2F EDX=00000032 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A5406	XOR      EDX, EDX                                         EAX=00000001 ECX=0026FC2F EDX=00000032 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A5408	DIV      DWORD [EBP+0x8]                                  EAX=00000001 ECX=0026FC2F EDX=00000000 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A540B	CMP      EDX, 0x9                                         EAX=00000000 ECX=0026FC2F EDX=00000001 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A540E	JBE      0xa5415                                          EAX=00000000 ECX=0026FC2F EDX=00000001 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000293
000A5415	ADD      DL, 0x30                                         EAX=00000000 ECX=0026FC2F EDX=00000001 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000293
000A5418	MOV      [ECX], DL                                        EAX=00000000 ECX=0026FC2F EDX=00000031 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A541A	INC      ECX                                              EAX=00000000 ECX=0026FC2F EDX=00000031 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000202
000A541B	TEST     EAX, EAX                                         EAX=00000000 ECX=0026FC30 EDX=00000031 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000216
000A541D	JNZ      0xa5406                                          EAX=00000000 ECX=0026FC30 EDX=00000031 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A541F	MOV      [ECX], AL                                        EAX=00000000 ECX=0026FC30 EDX=00000031 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A5421	DEC      ECX                                              EAX=00000000 ECX=0026FC30 EDX=00000031 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000246
000A5422	MOV      DL, [ESI]                                        EAX=00000000 ECX=0026FC2F EDX=00000031 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000212
000A5424	MOV      AL, [ECX]                                        EAX=00000000 ECX=0026FC2F EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000212
000A5426	MOV      [ECX], DL                                        EAX=00000031 ECX=0026FC2F EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000212
000A5428	DEC      ECX                                              EAX=00000031 ECX=0026FC2F EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000212
000A5429	MOV      [ESI], AL                                        EAX=00000031 ECX=0026FC2E EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000206
000A542B	INC      ESI                                              EAX=00000031 ECX=0026FC2E EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC28 EDI=00000000 EFLAG=00000206
000A542C	CMP      ESI, ECX                                         EAX=00000031 ECX=0026FC2E EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC29 EDI=00000000 EFLAG=00000202
000A542E	JB       0xa5422                                          EAX=00000031 ECX=0026FC2E EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC29 EDI=00000000 EFLAG=00000293
000A5422	MOV      DL, [ESI]                                        EAX=00000031 ECX=0026FC2E EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC29 EDI=00000000 EFLAG=00000293
000A5424	MOV      AL, [ECX]                                        EAX=00000031 ECX=0026FC2E EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC29 EDI=00000000 EFLAG=00000293
000A5426	MOV      [ECX], DL                                        EAX=00000032 ECX=0026FC2E EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC29 EDI=00000000 EFLAG=00000293
000A5428	DEC      ECX                                              EAX=00000032 ECX=0026FC2E EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC29 EDI=00000000 EFLAG=00000293
000A5429	MOV      [ESI], AL                                        EAX=00000032 ECX=0026FC2D EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC29 EDI=00000000 EFLAG=00000207
000A542B	INC      ESI                                              EAX=00000032 ECX=0026FC2D EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC29 EDI=00000000 EFLAG=00000207
000A542C	CMP      ESI, ECX                                         EAX=00000032 ECX=0026FC2D EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC2A EDI=00000000 EFLAG=00000203
000A542E	JB       0xa5422                                          EAX=00000032 ECX=0026FC2D EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC2A EDI=00000000 EFLAG=00000293
000A5422	MOV      DL, [ESI]                                        EAX=00000032 ECX=0026FC2D EDX=00000037 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC2A EDI=00000000 EFLAG=00000293
000A5424	MOV      AL, [ECX]                                        EAX=00000032 ECX=0026FC2D EDX=00000036 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC2A EDI=00000000 EFLAG=00000293
000A5426	MOV      [ECX], DL                                        EAX=00000033 ECX=0026FC2D EDX=00000036 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC2A EDI=00000000 EFLAG=00000293
000A5428	DEC      ECX                                              EAX=00000033 ECX=0026FC2D EDX=00000036 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC2A EDI=00000000 EFLAG=00000293
000A5429	MOV      [ESI], AL                                        EAX=00000033 ECX=0026FC2C EDX=00000036 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC2A EDI=00000000 EFLAG=00000203
000A542B	INC      ESI                                              EAX=00000033 ECX=0026FC2C EDX=00000036 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC2A EDI=00000000 EFLAG=00000203
000A542C	CMP      ESI, ECX                                         EAX=00000033 ECX=0026FC2C EDX=00000036 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC2B EDI=00000000 EFLAG=00000207
000A542E	JB       0xa5422                                          EAX=00000033 ECX=0026FC2C EDX=00000036 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC2B EDI=00000000 EFLAG=00000297
000A5422	MOV      DL, [ESI]                                        EAX=00000033 ECX=0026FC2C EDX=00000036 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC2B EDI=00000000 EFLAG=00000297
000A5424	MOV      AL, [ECX]                                        EAX=00000033 ECX=0026FC2C EDX=00000035 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC2B EDI=00000000 EFLAG=00000297
000A5426	MOV      [ECX], DL                                        EAX=00000034 ECX=0026FC2C EDX=00000035 EBX=760041B5 ESP=0026FBF4 EBP=0026FBF8 ESI=0026FC2B EDI=00000000 EFLAG=00000297
