012B5403	PUSH     ESI                                              EAX=12345677 ECX=001DFA80 EDX=00EE96E4 EBX=760041B5 ESP=001DFA50 EBP=001DFA50 ESI=7630FD1E EDI=00000000 EFLAG=00000246
012B5404	MOV      ESI, ECX                                         EAX=12345677 ECX=001DFA80 EDX=00EE96E4 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=7630FD1E EDI=00000000 EFLAG=00000246
012B5406	XOR      EDX, EDX                                         EAX=12345677 ECX=001DFA80 EDX=00EE96E4 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B5408	DIV      DWORD [EBP+0x8]                                  EAX=12345677 ECX=001DFA80 EDX=00000000 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B540B	CMP      EDX, 0x9                                         EAX=01234567 ECX=001DFA80 EDX=00000007 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B540E	JBE      0x12b5415                                        EAX=01234567 ECX=001DFA80 EDX=00000007 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000293
012B5415	ADD      DL, 0x30                                         EAX=01234567 ECX=001DFA80 EDX=00000007 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000293
012B5418	MOV      [ECX], DL                                        EAX=01234567 ECX=001DFA80 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B541A	INC      ECX                                              EAX=01234567 ECX=001DFA80 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B541B	TEST     EAX, EAX                                         EAX=01234567 ECX=001DFA81 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000206
012B541D	JNZ      0x12b5406                                        EAX=01234567 ECX=001DFA81 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
