000A53FB	JZ       0xa5403                                          EAX=12345679 ECX=001DF9C0 EDX=00EE96E4 EBX=760041B5 ESP=001DF990 EBP=001DF990 ESI=7630FD1E EDI=00000000 EFLAG=00000246
000A5403	PUSH     ESI                                              EAX=12345679 ECX=001DF9C0 EDX=00EE96E4 EBX=760041B5 ESP=001DF990 EBP=001DF990 ESI=7630FD1E EDI=00000000 EFLAG=00000246
000A5404	MOV      ESI, ECX                                         EAX=12345679 ECX=001DF9C0 EDX=00EE96E4 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=7630FD1E EDI=00000000 EFLAG=00000246
000A5406	XOR      EDX, EDX                                         EAX=12345679 ECX=001DF9C0 EDX=00EE96E4 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000246
000A5408	DIV      DWORD [EBP+0x8]                                  EAX=12345679 ECX=001DF9C0 EDX=00000000 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000246
000A540B	CMP      EDX, 0x9                                         EAX=01234567 ECX=001DF9C0 EDX=00000009 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000246
000A540E	JBE      0xa5415                                          EAX=01234567 ECX=001DF9C0 EDX=00000009 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000246
000A5415	ADD      DL, 0x30                                         EAX=01234567 ECX=001DF9C0 EDX=00000009 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000246
000A5418	MOV      [ECX], DL                                        EAX=01234567 ECX=001DF9C0 EDX=00000039 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000206
000A541A	INC      ECX                                              EAX=01234567 ECX=001DF9C0 EDX=00000039 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000206
000A541B	TEST     EAX, EAX                                         EAX=01234567 ECX=001DF9C1 EDX=00000039 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000202
000A541D	JNZ      0xa5406                                          EAX=01234567 ECX=001DF9C1 EDX=00000039 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000202
000A5406	XOR      EDX, EDX                                         EAX=01234567 ECX=001DF9C1 EDX=00000039 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000202
000A5408	DIV      DWORD [EBP+0x8]                                  EAX=01234567 ECX=001DF9C1 EDX=00000000 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000246
000A540B	CMP      EDX, 0x9                                         EAX=00123456 ECX=001DF9C1 EDX=00000007 EBX=760041B5 ESP=001DF98C EBP=001DF990 ESI=001DF9C0 EDI=00000000 EFLAG=00000246
